trade_date,snp500_close,nasdaq_close,phlx_semi_close
2021-11-30,4567.0,15537.69,3833.22
2021-12-01,4513.04,15254.05,3810.75
2021-12-02,4577.1,15381.32,3810.82
2021-12-03,4538.43,15085.47,3804.54
2021-12-06,4591.67,15225.15,3800.07
2021-12-07,4686.75,15686.92,3988.75
2021-12-08,4701.21,15786.99,3964.44
2021-12-09,4667.45,15517.37,3879.52
2021-12-10,4712.02,15630.6,3914.67
2021-12-13,4668.97,15413.28,3814.43
2021-12-14,4634.09,15237.64,3794.41
2021-12-15,4709.85,15565.58,3934.46
2021-12-16,4668.67,15180.43,3766.32
2021-12-17,4620.64,15169.68,3761.04
2021-12-20,4568.02,14980.94,3732.39
2021-12-21,4649.23,15341.09,3857.3
2021-12-22,4696.56,15521.89,3891.92
2021-12-23,4725.79,15653.37,3932.39
2021-12-27,4791.19,15871.26,4039.51
2021-12-28,4786.35,15781.72,3992.19
2021-12-29,4793.06,15766.22,3999.35
2021-12-30,4778.73,15741.56,3952.04
2021-12-31,4766.18,15644.97,3946.17
2022-01-03,4796.56,15832.8,4027.22
2022-01-04,4793.54,15622.72,4009.0
2022-01-05,4700.58,15100.17,3879.87
2022-01-06,4696.05,15080.86,3909.04
2022-01-07,4677.03,14935.9,3796.32
2022-01-10,4670.29,14942.83,3805.39
2022-01-11,4713.07,15153.45,3875.44
2022-01-12,4726.35,15188.39,3901.21
2022-01-13,4659.03,14806.81,3811.84
2022-01-14,4662.85,14893.75,3900.61
2022-01-18,4577.11,14506.9,3727.24
2022-01-19,4532.76,14340.26,3612.19
2022-01-20,4482.73,14154.02,3494.75
2022-01-21,4397.94,13768.92,3434.79
2022-01-24,4410.13,13855.13,3479.95
2022-01-25,4356.45,13539.29,3350.85
2022-01-26,4349.93,13542.12,3407.0
2022-01-27,4326.51,13352.78,3244.0
2022-01-28,4431.85,13770.57,3303.4
2022-01-31,4515.55,14239.88,3483.21
2022-02-01,4546.54,14346.0,3510.86
2022-02-02,4589.38,14417.55,3597.17
2022-02-03,4477.44,13878.82,3432.55
2022-02-04,4500.53,14098.01,3453.07
2022-02-07,4483.87,14015.67,3452.33
2022-02-08,4521.54,14194.45,3535.13
2022-02-09,4587.18,14490.37,3653.72
2022-02-10,4504.08,14185.64,3536.1
2022-02-11,4418.64,13791.15,3365.25
2022-02-14,4401.67,13790.92,3370.2
2022-02-15,4471.07,14139.76,3554.45
2022-02-16,4475.01,14124.09,3555.69
2022-02-17,4380.26,13716.72,3422.6
2022-02-18,4348.87,13548.07,3384.3
2022-02-22,4304.76,13381.52,3356.07
2022-02-23,4225.5,13037.49,3277.8
2022-02-24,4288.7,13473.59,3399.16
2022-02-25,4384.65,13694.62,3452.67
2022-02-28,4373.94,13751.4,3429.53
2022-03-01,4306.26,13532.46,3304.85
2022-03-02,4386.54,13752.02,3416.16
2022-03-03,4363.49,13537.94,3339.76
2022-03-04,4328.87,13313.44,3258.92
2022-03-07,4201.09,12830.96,3098.93
2022-03-08,4170.7,12795.55,3156.87
2022-03-09,4277.88,13255.55,3282.18
2022-03-10,4259.52,13129.96,3211.07
2022-03-11,4204.31,12843.81,3144.15
2022-03-14,4173.11,12581.22,3047.5
2022-03-15,4262.45,12948.62,3180.24
2022-03-16,4357.86,13436.55,3340.07
2022-03-17,4411.67,13614.78,3364.55
2022-03-18,4463.12,13893.84,3432.3
2022-03-21,4461.18,13838.46,3423.24
2022-03-22,4511.61,14108.82,3445.85
2022-03-23,4456.24,13922.6,3360.32
2022-03-24,4520.16,14191.84,3532.72
2022-03-25,4543.06,14169.3,3525.34
2022-03-28,4575.52,14354.9,3547.17
2022-03-29,4631.6,14619.64,3625.58
2022-03-30,4602.45,14442.27,3508.62
2022-03-31,4530.41,14220.52,3429.0
2022-04-01,4545.86,14261.5,3366.64
2022-04-04,4582.64,14532.55,3424.95
2022-04-05,4525.12,14204.17,3269.82
2022-04-06,4481.15,13888.82,3193.96
2022-04-07,4500.21,13897.3,3197.44
2022-04-08,4488.28,13711.0,3120.16
2022-04-11,4412.53,13411.96,3055.09
2022-04-12,4397.45,13371.57,3047.47
2022-04-13,4446.59,13643.59,3119.32
2022-04-14,4392.59,13351.08,3028.22
2022-04-18,4391.69,13332.36,3085.19
2022-04-19,4462.21,13619.66,3153.23
2022-04-20,4459.45,13453.07,3142.2
2022-04-21,4393.66,13174.65,3058.74
