trade_date,kospi_close,kosdaq_close,vkospi,program_net_amt,vix,us_10y_yield,usd_krw,snp500_close,nasdaq_close,phlx_semi_close
2022-03-17,2694.510009765625,914.1300048828124,22.549999237060547,664114000000,26.67,2.19,1228.04,4357.86,13436.55,3340.07
2022-03-18,2707.02001953125,922.9600219726562,21.93000030517578,-71021000000,25.67,2.2,1214.33,4411.67,13614.78,3364.55
2022-03-21,2686.050048828125,918.4000244140624,22.399999618530277,-443297000000,23.87,2.14,1212.2,4463.12,13893.84,3432.3
2022-03-22,2710.0,924.6699829101562,21.030000686645508,51864000000,23.53,2.32,1216.12,4461.18,13838.46,3423.24
2022-03-23,2735.050048828125,930.5700073242188,19.61000061035156,89092000000,22.94,2.38,1217.09,4511.61,14108.82,3445.85
2022-03-24,2729.659912109375,931.75,19.729999542236328,-325524000000,23.57,2.32,1217.92,4456.24,13922.6,3360.32
2022-03-25,2729.97998046875,934.6900024414062,19.6200008392334,-299133000000,21.67,2.34,1220.45,4520.16,14191.84,3532.72
2022-03-28,2729.56005859375,927.1099853515624,19.600000381469727,-54187000000,20.81,2.48,1218.77,4543.06,14169.3,3525.34
2022-03-29,2741.070068359375,937.8300170898438,18.75,-97060000000,19.63,2.46,1225.46,4575.52,14354.9,3547.17
2022-03-30,2746.739990234375,939.0700073242188,17.8799991607666,-37354000000,18.9,2.41,1219.21,4631.6,14619.64,3625.58
2022-03-31,2757.64990234375,944.530029296875,17.139999389648438,-173636000000,19.33,2.35,1208.46,4602.45,14442.27,3508.62
2022-04-01,2739.85009765625,940.5700073242188,17.06999969482422,10029000000,20.56,2.32,1211.55,4530.41,14220.52,3429.0
2022-04-04,2757.89990234375,947.3200073242188,16.489999771118164,184055000000,19.63,2.39,1215.29,4545.86,14261.5,3366.64
2022-04-05,2759.199951171875,952.469970703125,15.90999984741211,-43741000000,18.57,2.42,1214.72,4582.64,14532.55,3424.95
2022-04-06,2735.030029296875,943.1300048828124,16.790000915527344,-300623000000,21.03,2.54,1212.55,4525.12,14204.17,3269.82
2022-04-07,2695.860107421875,927.9500122070312,17.780000686645508,-655331000000,22.1,2.61,1212.55,4481.15,13888.82,3193.96
2022-04-08,2700.389892578125,934.72998046875,17.100000381469727,-369730000000,21.55,2.66,1218.96,4500.21,13897.3,3197.44
2022-04-11,2693.10009765625,921.8300170898438,17.56999969482422,-145462000000,21.16,2.72,1225.13,4488.28,13711.0,3120.16
2022-04-12,2666.760009765625,913.8200073242188,18.46999931335449,-330178000000,24.37,2.79,1233.38,4412.53,13411.96,3055.09
2022-04-13,2716.489990234375,927.3099975585938,17.020000457763672,89582000000,24.26,2.72,1236.03,4397.45,13371.57,3047.47
2022-04-14,2716.7099609375,928.010009765625,17.1299991607666,-79988000000,21.82,2.7,1227.17,4446.59,13643.59,3119.32
2022-04-15,2696.06005859375,924.4400024414062,17.770000457763672,-196382000000,22.7,2.83,1224.18,4392.59,13351.08,3028.22
2022-04-18,2693.2099609375,918.22998046875,18.8799991607666,-58324000000,22.7,2.83,1227.97,4392.59,13351.08,3028.22
2022-04-19,2718.889892578125,931.5599975585938,17.690000534057617,113428000000,22.17,2.85,1233.73,4391.69,13332.36,3085.19
2022-04-20,2718.68994140625,928.9299926757812,17.34000015258789,121110000000,21.37,2.93,1236.53,4462.21,13619.66,3153.23
2022-04-21,2728.2099609375,929.6799926757812,16.770000457763672,-28115000000,20.32,2.85,1235.28,4459.45,13453.07,3142.2
2022-04-22,2704.7099609375,922.780029296875,17.75,-107244000000,22.68,2.9,1238.13,4393.66,13174.65,3058.74
2022-04-25,2657.1298828125,899.8400268554688,21.049999237060547,-555829000000,28.21,2.9,1239.66,4271.78,12839.29,2989.83
2022-04-26,2668.31005859375,911.1599731445312,19.940000534057617,-95420000000,27.02,2.81,1249.87,4296.12,13004.85,3042.39
2022-04-27,2639.06005859375,896.1799926757812,21.979999542236328,-369682000000,33.52,2.77,1260.37,4175.2,12490.74,2909.12
2022-04-28,2667.489990234375,892.219970703125,20.450000762939453,24976000000,31.6,2.82,1269.35,4183.96,12488.93,2894.91
2022-04-29,2695.050048828125,904.75,18.920000076293945,104464000000,29.99,2.85,1271.5,4287.5,12871.53,3056.36
2022-05-02,2687.449951171875,901.8200073242188,20.5,-2878000000,33.4,2.89,1255.87,4131.93,12334.64,2919.74
2022-05-03,2680.4599609375,907.5700073242188,20.25,62211000000,32.34,2.99,1265.24,4155.38,12536.02,3022.24
2022-05-04,2677.570068359375,900.0599975585938,19.61000061035156,9344000000,29.25,2.97,1267.82,4175.48,12563.76,3044.89
2022-05-06,2644.510009765625,884.219970703125,20.8700008392334,-409943000000,31.2,3.05,1256.05,4146.87,12317.69,3005.53
2022-05-09,2610.81005859375,860.8400268554688,21.38999938964844,-359208000000,30.19,3.12,1272.58,4123.34,12144.66,2982.06
2022-05-10,2596.56005859375,856.1400146484375,22.11000061035156,-234599000000,34.75,3.05,1276.29,3991.24,11623.25,2829.1
2022-05-11,2592.27001953125,866.3400268554688,21.100000381469727,-283047000000,32.99,2.99,1275.02,4001.05,11737.67,2900.13
2022-05-12,2550.080078125,833.6599731445312,22.71999931335449,-128593000000,32.56,2.91,1275.04,3935.18,11364.24,2811.94
2022-05-13,2604.239990234375,853.0800170898438,19.690000534057617,173978000000,31.77,2.84,1288.65,3930.08,11370.96,2827.21
2022-05-16,2596.580078125,856.25,20.270000457763672,-114271000000,28.87,2.93,1283.51,4023.89,11805.0,2970.37
2022-05-17,2620.43994140625,865.97998046875,19.059999465942383,-131157000000,27.47,2.88,1284.79,4008.01,11662.79,2920.06
2022-05-18,2625.97998046875,871.5700073242188,18.399999618530277,144843000000,26.1,2.98,1274.33,4088.85,11984.52,3066.5
2022-05-19,2592.340087890625,863.7999877929688,20.420000076293945,-71009000000,30.96,2.89,1266.36,3923.68,11418.15,2907.96
2022-05-20,2639.2900390625,879.8800048828125,19.100000381469727,290449000000,29.35,2.84,1276.91,3900.79,11388.5,2890.33
2022-05-23,2647.3798828125,883.5900268554688,19.440000534057617,-35654000000,29.43,2.78,1267.87,3901.36,11354.62,2882.65
2022-05-24,2605.8701171875,865.0700073242188,20.61000061035156,-147104000000,28.48,2.86,1263.85,3973.75,11535.27,2898.43
2022-05-25,2617.219970703125,872.6900024414062,19.88999938964844,52900000000,29.45,2.76,1265.97,3941.48,11264.45,2827.05
2022-05-26,2612.449951171875,871.4299926757812,19.90999984741211,231418000000,28.37,2.75,1264.58,3978.73,11434.74,2882.93
2022-05-27,2638.050048828125,873.969970703125,18.799999237060547,137373000000,27.5,2.75,1267.83,4057.84,11740.65,2994.61
2022-05-30,2669.659912109375,886.4400024414062,17.739999771118164,360935000000,25.72,2.74,1250.13,4158.24,12131.13,3115.35
2022-05-31,2685.89990234375,893.3599853515625,17.260000228881836,1135331000000,26.54,2.74,1250.13,4158.24,12131.13,3115.35
2022-06-02,2658.989990234375,891.1400146484375,17.600000381469727,999000000,25.69,2.94,1246.52,4101.23,11994.46,3049.03
2022-06-03,2670.64990234375,891.510009765625,16.8700008392334,-41760000000,24.72,2.92,1252.03,4176.82,12316.9,3157.98
2022-06-07,2626.340087890625,873.780029296875,18.100000381469727,-166421000000,25.07,3.04,1253.52,4121.43,12061.37,3062.74
2022-06-08,2626.14990234375,874.9500122070312,17.100000381469727,23304000000,24.02,2.98,1255.32,4160.68,12175.23,3092.97
2022-06-09,2625.43994140625,877.1799926757812,17.0,-283875000000,23.96,3.03,1253.5,4115.77,12086.27,3019.1
2022-06-10,2595.8701171875,869.8599853515625,18.290000915527344,-592161000000,26.09,3.04,1256.91,4017.82,11754.23,2937.79
2022-06-13,2504.510009765625,828.77001953125,23.299999237060547,-281404000000,27.75,3.15,1268.01,3900.86,11340.02,2831.98
2022-06-14,2492.969970703125,823.5800170898438,23.739999771118164,56066000000,34.02,3.43,1283.69,3749.63,10809.23,2673.0
2022-06-15,2447.3798828125,799.4099731445312,24.270000457763672,-436758000000,32.69,3.49,1285.87,3735.48,10828.35,2689.89
2022-06-16,2451.409912109375,802.1500244140625,23.71999931335449,176757000000,29.62,3.33,1290.05,3789.99,11099.15,2737.55
2022-06-17,2440.929931640625,798.6900024414062,25.790000915527344,-415871000000,32.95,3.28,1286.76,3666.77,10646.1,2566.86
2022-06-20,2391.030029296875,769.9199829101562,26.3700008392334,-417066000000,31.13,3.25,1287.36,3674.84,10798.35,2578.54
2022-06-21,2408.929931640625,778.2999877929688,23.399999618530277,-137663000000,31.03,3.25,1287.36,3674.84,10798.35,2578.54
2022-06-22,2342.81005859375,746.9600219726562,25.63999938964844,-166934000000,30.19,3.31,1293.25,3764.79,11069.3,2649.37
2022-06-23,2314.320068359375,714.3800048828125,25.920000076293945,120675000000,28.95,3.16,1297.21,3759.89,11053.08,2619.71
2022-06-24,2366.60009765625,750.2999877929688,23.940000534057617,230145000000,29.05,3.09,1300.86,3795.73,11232.19,2602.74
2022-06-27,2401.919921875,770.5999755859375,22.5,37185000000,27.23,3.13,1298.71,3911.74,11607.62,2718.47
2022-06-28,2422.090087890625,769.510009765625,21.209999084472656,-113704000000,26.95,3.2,1286.2,3900.11,11524.55,2713.48
2022-06-29,2377.989990234375,762.3499755859375,22.459999084472656,-289245000000,28.36,3.2,1290.18,3821.55,11181.54,2642.07
2022-06-30,2332.639892578125,745.4400024414062,23.899999618530277,-457909000000,28.16,3.1,1298.39,3818.83,11177.89,2583.98
2022-07-01,2305.419921875,729.47998046875,23.979999542236328,-360449000000,28.71,2.98,1298.95,3785.38,11028.74,2556.25
2022-07-04,2300.340087890625,722.72998046875,24.06999969482422,-132682000000,26.7,2.88,1297.18,3825.33,11127.85,2458.46
2022-07-05,2341.780029296875,750.9500122070312,22.729999542236328,119306000000,27.53,2.88,1297.18,3825.33,11127.85,2458.46
2022-07-06,2292.010009765625,744.6300048828125,24.670000076293945,-139911000000,27.54,2.82,1299.69,3831.39,11322.24,2477.64
2022-07-07,2334.27001953125,757.969970703125,23.600000381469727,139364000000,26.73,2.93,1307.1,3845.08,11361.85,2494.11
2022-07-08,2350.610107421875,766.47998046875,23.0,89077000000,26.08,3.01,1299.51,3902.62,11621.35,2605.89
2022-07-11,2340.27001953125,767.0399780273438,23.32999992370605,-46077000000,24.64,3.09,1299.51,3899.38,11635.31,2618.02
2022-07-12,2317.760009765625,750.780029296875,23.32999992370605,10398000000,26.17,2.99,1308.9,3854.43,11372.6,2553.69
2022-07-13,2328.610107421875,763.1799926757812,23.299999237060547,8957000000,27.29,2.96,1311.91,3818.8,11264.73,2558.17
2022-07-14,2322.320068359375,766.0800170898438,23.31999969482422,104401000000,26.82,2.91,1306.65,3801.78,11247.58,2577.36
2022-07-15,2330.97998046875,762.3900146484375,22.07999992370605,75561000000,26.4,2.96,1311.76,3790.38,11251.19,2626.92
2022-07-18,2375.25,776.719970703125,20.530000686645508,286053000000,24.23,2.93,1321.15,3863.16,11452.42,2693.77
2022-07-19,2370.969970703125,782.3300170898438,20.739999771118164,-30848000000,25.3,2.96,1316.7,3830.85,11360.05,2679.57
2022-07-20,2386.85009765625,790.719970703125,20.309999465942383,-1765000000,24.5,3.01,1313.52,3936.69,11713.15,2803.14
2022-07-21,2409.159912109375,795.1500244140625,20.020000457763672,368747000000,23.88,3.04,1313.1,3959.9,11897.65,2872.96
2022-07-22,2393.139892578125,789.75,19.709999084472656,-118801000000,23.11,2.91,1307.58,3998.95,12059.61,2916.81
2022-07-25,2403.68994140625,789.6900024414062,19.96999931335449,109509000000,23.03,2.77,1312.82,3961.63,11834.11,2842.41
2022-07-26,2412.9599609375,789.9299926757812,19.3799991607666,17000000000,23.36,2.81,1313.27,3966.84,11782.67,2825.03
2022-07-27,2415.530029296875,795.7000122070312,19.38999938964844,-28966000000,24.69,2.81,1308.33,3921.05,11562.57,2778.96
2022-07-28,2435.27001953125,798.3200073242188,18.36000061035156,308461000000,23.24,2.78,1313.14,4023.61,12032.42,2911.0
2022-07-29,2451.5,803.6199951171875,17.790000915527344,225068000000,22.33,2.68,1299.69,4072.43,12162.59,2944.5
2022-08-01,2452.25,807.6099853515625,18.21999931335449,116962000000,21.33,2.67,1299.08,4130.29,12390.69,2967.14
2022-08-02,2439.6201171875,804.3400268554688,19.239999771118164,103628000000,22.84,2.6,1304.18,4118.63,12368.98,2978.32
2022-08-03,2461.449951171875,815.3599853515625,18.450000762939453,376298000000,23.93,2.75,1304.89,4091.19,12348.76,2974.75
2022-08-04,2473.110107421875,825.1599731445312,17.700000762939453,195758000000,21.95,2.73,1310.69,4155.17,12668.16,3053.46
2022-08-05,2490.800048828125,831.6400146484375,17.0,379720000000,21.44,2.68,1310.2,4151.94,12720.58,3081.41
2022-08-08,2493.10009765625,830.8599853515625,17.149999618530273,172602000000,21.15,2.83,1298.22,4145.19,12657.55,3053.39
2022-08-09,2503.4599609375,833.6500244140625,16.5,194572000000,21.29,2.77,1306.11,4140.06,12644.46,3004.34
2022-08-10,2480.8798828125,820.27001953125,17.18000030517578,-115771000000,21.77,2.8,1304.5,4122.47,12493.93,2866.9
2022-08-11,2523.780029296875,832.1500244140625,15.739999771118164,447356000000,19.74,2.78,1310.54,4210.24,12854.8,2988.71
2022-08-12,2527.93994140625,831.6300048828125,15.449999809265137,54083000000,20.2,2.87,1302.72,4207.27,12779.91,2978.7
2022-08-16,2533.52001953125,834.739990234375,15.420000076293944,-135564000000,19.95,2.79,1305.85,4297.14,13128.05,3077.33
2022-08-17,2516.469970703125,827.4199829101562,15.510000228881836,16652000000,19.69,2.82,1308.54,4305.2,13102.55,3045.64
2022-08-18,2508.050048828125,826.0599975585938,15.770000457763672,203937000000,19.9,2.89,1310.16,4274.04,12938.12,2970.12
2022-08-19,2492.68994140625,814.1699829101562,15.729999542236328,-70503000000,19.56,2.88,1319.94,4283.74,12965.34,3037.84
2022-08-22,2462.5,795.8699951171875,16.760000228881836,92459000000,20.6,2.98,1325.5,4228.48,12705.22,2953.34
2022-08-23,2435.340087890625,783.4199829101562,17.719999313354492,20608000000,23.8,3.03,1339.4,4137.99,12381.57,2843.37
2022-08-24,2447.449951171875,793.1400146484375,17.479999542236328,67595000000,24.11,3.05,1339.4,4128.73,12381.3,2864.31
2022-08-25,2477.260009765625,807.3699951171875,16.190000534057617,66777000000,22.82,3.11,1342.05,4140.77,12431.53,2866.18
