ticker,trade_date,eps,bps,per,pbr
031980,2021-02-15,950,15958,9.24,0.55
031980,2021-02-16,950,15958,9.22,0.55
031980,2021-02-17,950,15958,9.19,0.55
031980,2021-02-18,950,15958,9.03,0.54
031980,2021-02-19,950,15958,9.01,0.54
031980,2021-02-22,950,15958,8.91,0.53
031980,2021-02-23,950,15958,8.81,0.52
031980,2021-02-24,950,15958,8.76,0.52
031980,2021-02-25,950,15958,8.8,0.52
031980,2021-02-26,950,15958,8.74,0.52
031980,2021-03-02,950,15958,8.69,0.52
031980,2021-03-03,950,15958,8.61,0.51
031980,2021-03-04,950,15958,8.52,0.51
031980,2021-03-05,950,15958,8.42,0.5
031980,2021-03-08,950,15958,8.31,0.49
031980,2021-03-09,950,15958,8.13,0.48
031980,2021-03-10,950,15958,8.0,0.48
031980,2021-03-11,950,15958,8.21,0.49
031980,2021-03-12,950,15958,8.25,0.49
031980,2021-03-15,950,15958,8.18,0.49
031980,2021-03-16,950,15958,8.31,0.49
031980,2021-03-17,950,15958,8.32,0.5
031980,2021-03-18,950,15958,8.36,0.5
031980,2021-03-19,950,15958,8.4,0.5
031980,2021-03-22,950,15958,8.73,0.52
031980,2021-03-23,950,15958,8.53,0.51
031980,2021-03-24,950,15958,8.49,0.51
031980,2021-03-25,950,15958,8.53,0.51
031980,2021-03-26,950,15958,8.62,0.51
031980,2021-03-29,950,15958,8.58,0.51
031980,2021-03-30,950,15958,8.6,0.51
031980,2021-03-31,950,15958,8.6,0.51
031980,2021-04-01,950,15958,8.89,0.53
031980,2021-04-02,950,15958,9.55,0.57
031980,2021-04-05,950,15958,11.0,0.65
031980,2021-04-06,950,15958,11.58,0.69
031980,2021-04-07,950,15958,11.21,0.67
031980,2021-04-08,950,15958,11.53,0.69
031980,2021-04-09,950,15958,10.74,0.64
031980,2021-04-12,950,15958,10.89,0.65
031980,2021-04-13,950,15958,10.89,0.65
031980,2021-04-14,950,15958,11.26,0.67
031980,2021-04-15,950,15958,11.11,0.66
031980,2021-04-16,950,15958,11.37,0.68
031980,2021-04-19,950,15958,14.74,0.88
031980,2021-04-20,950,15958,14.37,0.86
031980,2021-04-21,950,15958,13.74,0.82
031980,2021-04-22,950,15958,13.84,0.82
031980,2021-04-23,950,15958,13.84,0.82
031980,2021-04-26,950,15958,13.58,0.81
031980,2021-04-27,950,15958,13.58,0.81
031980,2021-04-28,950,15958,12.89,0.77
031980,2021-04-29,950,15958,12.68,0.76
031980,2021-04-30,950,15958,12.63,0.75
031980,2021-05-03,3075,9160,3.92,1.32
031980,2021-05-04,3075,9160,3.77,1.27
031980,2021-05-06,3075,9160,3.72,1.25
031980,2021-05-07,3075,9160,3.74,1.26
031980,2021-05-10,3075,9160,3.67,1.23
031980,2021-05-11,3075,9160,3.59,1.21
031980,2021-05-12,3075,9160,3.67,1.23
031980,2021-05-13,3075,9160,3.45,1.16
031980,2021-05-14,3075,9160,3.67,1.23
031980,2021-05-17,3075,9160,3.51,1.18
031980,2021-05-18,3075,9160,3.61,1.21
031980,2021-05-20,3075,9160,3.93,1.32
031980,2021-05-21,3075,9160,3.98,1.34
031980,2021-05-24,3075,9160,3.77,1.27
031980,2021-05-25,3075,9160,3.72,1.25
031980,2021-05-26,3075,9160,3.64,1.22
031980,2021-05-27,3075,9160,3.82,1.28
031980,2021-05-28,3075,9160,4.16,1.4
031980,2021-05-31,3075,9160,3.97,1.33
031980,2021-06-01,3075,9160,4.05,1.36
031980,2021-06-02,3075,9160,4.05,1.36
031980,2021-06-03,3075,9160,4.18,1.4
031980,2021-06-04,3075,9160,4.16,1.4
031980,2021-06-07,3075,9160,4.07,1.36
031980,2021-06-08,3075,9160,3.89,1.3
031980,2021-06-09,3075,9160,3.69,1.24
031980,2021-06-10,3075,9160,3.69,1.24
031980,2021-06-11,3075,9160,3.76,1.26
031980,2021-06-14,3075,9160,3.79,1.27
031980,2021-06-15,3075,9160,3.82,1.28
031980,2021-06-16,3075,9160,3.85,1.29
031980,2021-06-17,3075,9160,3.74,1.26
031980,2021-06-18,3075,9160,3.72,1.25
031980,2021-06-21,3075,9160,3.71,1.24
031980,2021-06-22,3075,9160,3.8,1.28
031980,2021-06-23,3075,9160,3.77,1.27
031980,2021-06-24,3075,9160,3.89,1.3
031980,2021-06-25,3075,9160,3.97,1.33
031980,2021-06-28,3075,9160,4.02,1.35
031980,2021-06-29,3075,9160,4.31,1.45
031980,2021-06-30,3075,9160,4.31,1.45
031980,2021-07-01,3075,9160,4.26,1.43
031980,2021-07-02,3075,9160,4.15,1.39
031980,2021-07-05,3075,9160,4.37,1.47
031980,2021-07-06,3075,9160,4.29,1.44
031980,2021-07-07,3075,9160,4.24,1.42
031980,2021-07-08,3075,9160,4.23,1.42
031980,2021-07-09,3075,9160,4.23,1.42
031980,2021-07-12,3075,9160,4.21,1.41
031980,2021-07-13,3075,9160,4.26,1.43
031980,2021-07-14,3075,9160,4.15,1.39
031980,2021-07-15,3075,9160,4.18,1.4
031980,2021-07-16,3075,9160,4.03,1.35
031980,2021-07-19,3075,9160,4.07,1.36
031980,2021-07-20,3075,9160,4.0,1.34
031980,2021-07-21,3075,9160,3.87,1.3
031980,2021-07-22,3075,9160,4.11,1.38
031980,2021-07-23,3075,9160,4.08,1.37
031980,2021-07-26,3075,9160,4.18,1.4
031980,2021-07-27,3075,9160,4.16,1.4
031980,2021-07-28,3075,9160,4.05,1.36
031980,2021-07-29,3075,9160,4.28,1.44
031980,2021-07-30,3075,9160,4.2,1.41
031980,2021-08-02,3075,9160,4.29,1.44
031980,2021-08-03,3075,9160,4.26,1.43
031980,2021-08-04,3075,9160,4.41,1.48
031980,2021-08-05,3075,9160,4.42,1.48
031980,2021-08-06,3075,9160,4.44,1.49
031980,2021-08-09,3075,9160,4.6,1.54
031980,2021-08-10,3075,9160,4.47,1.5
031980,2021-08-11,3075,9160,4.1,1.38
031980,2021-08-12,3075,9160,4.16,1.4
031980,2021-08-13,3075,9160,4.08,1.37
031980,2021-08-17,3075,9160,4.08,1.37
031980,2021-08-18,3075,9160,4.13,1.39
031980,2021-08-19,3075,9160,4.02,1.35
031980,2021-08-20,3075,9160,3.98,1.34
031980,2021-08-23,3075,9160,4.07,1.36
031980,2021-08-24,3075,9160,4.15,1.39
031980,2021-08-25,3075,9160,4.07,1.36
031980,2021-08-26,3075,9160,4.24,1.42
031980,2021-08-27,3075,9160,4.2,1.41
031980,2021-08-30,3075,9160,4.23,1.42
031980,2021-08-31,3075,9160,4.2,1.41
031980,2021-09-01,3075,9160,4.21,1.41
031980,2021-09-02,3075,9160,4.16,1.4
031980,2021-09-03,3075,9160,4.08,1.37
031980,2021-09-06,3075,9160,4.02,1.35
031980,2021-09-07,3075,9160,4.0,1.34
031980,2021-09-08,3075,9160,3.84,1.29
031980,2021-09-09,3075,9160,3.8,1.28
031980,2021-09-10,3075,9160,3.76,1.26
031980,2021-09-13,3075,9160,3.67,1.23
031980,2021-09-14,3075,9160,3.79,1.27
031980,2021-09-15,3075,9160,3.63,1.22
031980,2021-09-16,3075,9160,3.66,1.23
031980,2021-09-17,3075,9160,3.85,1.29
031980,2021-09-23,3075,9160,3.79,1.27
031980,2021-09-24,3075,9160,3.74,1.26
031980,2021-09-27,3075,9160,3.79,1.27
031980,2021-09-28,3075,9160,3.84,1.29
031980,2021-09-29,3075,9160,3.74,1.26
031980,2021-09-30,3075,9160,3.72,1.25
031980,2021-10-01,3075,9160,3.61,1.21
031980,2021-10-05,3075,9160,3.48,1.17
031980,2021-10-06,3075,9160,3.38,1.14
031980,2021-10-07,3075,9160,3.45,1.16
031980,2021-10-08,3075,9160,3.4,1.14
031980,2021-10-12,3075,9160,3.33,1.12
031980,2021-10-13,3075,9160,3.25,1.09
031980,2021-10-14,3075,9160,3.38,1.14
031980,2021-10-15,3075,9160,3.46,1.16
031980,2021-10-18,3075,9160,3.5,1.17
031980,2021-10-19,3075,9160,3.51,1.18
031980,2021-10-20,3075,9160,3.46,1.16
031980,2021-10-21,3075,9160,3.43,1.15
031980,2021-10-22,3075,9160,3.45,1.16
031980,2021-10-25,3075,9160,3.5,1.17
031980,2021-10-26,3075,9160,3.59,1.21
031980,2021-10-27,3075,9160,3.61,1.21
031980,2021-10-28,3075,9160,3.67,1.23
031980,2021-10-29,3075,9160,3.59,1.21
031980,2021-11-01,3075,9160,3.5,1.17
031980,2021-11-02,3075,9160,3.58,1.2
031980,2021-11-03,3075,9160,3.56,1.2
031980,2021-11-04,3075,9160,3.54,1.19
031980,2021-11-05,3075,9160,3.58,1.2
031980,2021-11-08,3075,9160,3.66,1.23
031980,2021-11-09,3075,9160,3.48,1.17
031980,2021-11-10,3075,9160,3.48,1.17
031980,2021-11-11,3075,9160,3.45,1.16
031980,2021-11-12,3075,9160,3.64,1.22
031980,2021-11-15,3075,9160,3.69,1.24
031980,2021-11-16,3075,9160,3.84,1.29
031980,2021-11-17,3075,9160,3.9,1.31
031980,2021-11-18,3075,9160,3.9,1.31
031980,2021-11-19,3075,9160,3.92,1.32
031980,2021-11-22,3075,9160,4.16,1.4
031980,2021-11-23,3075,9160,4.26,1.43
031980,2021-11-24,3075,9160,4.2,1.41
031980,2021-11-25,3075,9160,4.03,1.35
031980,2021-11-26,3075,9160,3.9,1.31
031980,2021-11-29,3075,9160,3.82,1.28
031980,2021-11-30,3075,9160,3.76,1.26
031980,2021-12-01,3075,9160,3.95,1.33
031980,2021-12-02,3075,9160,4.05,1.36
031980,2021-12-03,3075,9160,4.07,1.36
031980,2021-12-06,3075,9160,4.18,1.4
031980,2021-12-07,3075,9160,4.07,1.36
031980,2021-12-08,3075,9160,4.02,1.35
031980,2021-12-09,3075,9160,4.05,1.36
031980,2021-12-10,3075,9160,3.98,1.34
031980,2021-12-13,3075,9160,4.13,1.39
031980,2021-12-14,3075,9160,4.05,1.36
031980,2021-12-15,3075,9160,4.15,1.39
031980,2021-12-16,3075,9160,4.41,1.48
